2025-12-02 00:11:15 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-12-02 00:11:16 [main] INFO  org.ruoyi.RuoYiAIApplication - Starting RuoYiAIApplication using Java 17.0.17 with PID 38970 (/Users/lihb/WorkSpace/Project/AlpenCode/ruoyi-ai/ruoyi-admin/target/classes started by lihb in /Users/lihb/WorkSpace/Project/AlpenCode)
2025-12-02 00:11:16 [main] INFO  org.ruoyi.RuoYiAIApplication - The following 1 profile is active: "dev"
2025-12-02 00:11:19 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2025-12-02 00:11:19 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2025-12-02 00:11:19 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-12-02 00:14:07 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-12-02 00:14:07 [main] INFO  org.ruoyi.RuoYiAIApplication - Starting RuoYiAIApplication using Java 17.0.17 with PID 39483 (/Users/lihb/WorkSpace/Project/AlpenCode/ruoyi-ai/ruoyi-admin/target/classes started by lihb in /Users/lihb/WorkSpace/Project/AlpenCode)
2025-12-02 00:14:07 [main] INFO  org.ruoyi.RuoYiAIApplication - The following 1 profile is active: "dev"
2025-12-02 00:14:10 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2025-12-02 00:14:10 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource detect P6SPY plugin and enabled it
2025-12-02 00:14:10 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-12-02 00:14:11 [main] INFO  com.zaxxer.hikari.pool.HikariPool - master - Added connection com.mysql.cj.jdbc.ConnectionImpl@17e31657
2025-12-02 00:14:11 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2025-12-02 00:14:11 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2025-12-02 00:14:11 [main] INFO  c.b.d.d.DynamicRoutingDataSource - dynamic-datasource initial loaded [1] datasource,primary datasource named [master]
2025-12-02 00:14:12 [main] INFO  o.ruoyi.workflow.config.BeanConfig - Configuration:create objectMapper
2025-12-02 00:14:12 [main] INFO  o.r.common.redis.config.RedisConfig - 初始化 redis 配置
2025-12-02 00:14:12 [main] INFO  org.redisson.Version - Redisson 3.20.1
2025-12-02 00:14:12 [redisson-netty-2-1] INFO  o.r.c.p.MasterPubSubConnectionPool - 1 connections initialized for 117.78.1.49/117.78.1.49:6379
2025-12-02 00:14:13 [redisson-netty-2-3] INFO  o.r.c.pool.MasterConnectionPool - 8 connections initialized for 117.78.1.49/117.78.1.49:6379
2025-12-02 00:14:13 [main] INFO  o.r.c.core.config.ThreadPoolConfig - ====创建定时任务线程池====
2025-12-02 00:14:14 [main] INFO  o.r.s.s.VectorStoreStrategyFactory - 向量库策略工厂初始化完成，支持的策略: [weaviate, milvus]
2025-12-02 00:14:14 [main] INFO  o.r.common.json.config.JacksonConfig - 初始化 jackson 配置
2025-12-02 00:14:15 [main] INFO  o.r.g.factory.GraphLLMServiceFactory - 注册图谱LLM服务: category=deepseek, service=DeepSeekGraphLLMServiceImpl
