1764605653921|30|statement|connection 0|url jdbc:mysql://117.78.1.49:3306/AlpenCode?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,model_name,model_describe,model_price,model_type,model_show,system_prompt,api_host,api_key,priority,provider_name,remark,create_dept,create_by,create_time,update_by,update_time  FROM chat_model      WHERE  (model_name = ?)|SELECT  id,category,model_name,model_describe,model_price,model_type,model_show,system_prompt,api_host,api_key,priority,provider_name,remark,create_dept,create_by,create_time,update_by,update_time  FROM chat_model      WHERE  (model_name = 'suno')
1764605653975|30|statement|connection 1|url jdbc:mysql://117.78.1.49:3306/AlpenCode?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,model_name,model_describe,model_price,model_type,model_show,system_prompt,api_host,api_key,priority,provider_name,remark,create_dept,create_by,create_time,update_by,update_time  FROM chat_model      WHERE  (model_name = ?)|SELECT  id,category,model_name,model_describe,model_price,model_type,model_show,system_prompt,api_host,api_key,priority,provider_name,remark,create_dept,create_by,create_time,update_by,update_time  FROM chat_model      WHERE  (model_name = 'luma')
1764605654021|30|statement|connection 2|url jdbc:mysql://117.78.1.49:3306/AlpenCode?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = ? AND config_name LIKE ?)|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = 'chat' AND config_name LIKE '%apiHost%')
1764605654055|30|statement|connection 3|url jdbc:mysql://117.78.1.49:3306/AlpenCode?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = ? AND config_name LIKE ?)|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = 'chat' AND config_name LIKE '%apiKey%')
1764605654916|36|statement|connection 4|url jdbc:mysql://117.78.1.49:3306/AlpenCode?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,model_name,model_describe,model_price,model_type,model_show,system_prompt,api_host,api_key,priority,provider_name,remark,create_dept,create_by,create_time,update_by,update_time  FROM chat_model      WHERE  (model_name = ?)|SELECT  id,category,model_name,model_describe,model_price,model_type,model_show,system_prompt,api_host,api_key,priority,provider_name,remark,create_dept,create_by,create_time,update_by,update_time  FROM chat_model      WHERE  (model_name = 'midjourney')
1764605655727|25|statement|connection 5|url jdbc:mysql://117.78.1.49:3306/AlpenCode?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT server_name FROM mcp_info WHERE status = 1|SELECT server_name FROM mcp_info WHERE status = 1
1764605656450|42|statement|connection 6|url jdbc:mysql://117.78.1.49:3306/AlpenCode?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = ? AND config_name LIKE ?)|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = 'mail' AND config_name LIKE '%host%')
1764605656490|38|statement|connection 7|url jdbc:mysql://117.78.1.49:3306/AlpenCode?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = ? AND config_name LIKE ?)|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = 'mail' AND config_name LIKE '%port%')
1764605656525|31|statement|connection 8|url jdbc:mysql://117.78.1.49:3306/AlpenCode?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = ? AND config_name LIKE ?)|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = 'mail' AND config_name LIKE '%from%')
1764605656555|28|statement|connection 9|url jdbc:mysql://117.78.1.49:3306/AlpenCode?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = ? AND config_name LIKE ?)|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = 'mail' AND config_name LIKE '%user%')
1764605656595|37|statement|connection 10|url jdbc:mysql://117.78.1.49:3306/AlpenCode?useUnicode=true&characterEncoding=utf8&zeroDateTimeBehavior=convertToNull&useSSL=true&serverTimezone=GMT%2B8&autoReconnect=true&rewriteBatchedStatements=true|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = ? AND config_name LIKE ?)|SELECT  id,category,config_name,config_value,config_dict,remark,version,del_flag,update_ip,create_dept,create_by,create_time,update_by,update_time  FROM chat_config  WHERE del_flag='0'     AND (category = 'mail' AND config_name LIKE '%pass%')
